Time,Time from start,Time (Min),clickType,
14:16:09,0:11:09,11,1,
2022/6/3 14:17,0:12:20,12,2,
2022/6/3 14:19,0:14:19,14,1,
2022/6/3 14:22,0:17:49,17,3,
2022/6/3 14:24,0:19:29,19,3,
2022/6/3 14:24,0:19:49,19,3,
2022/6/3 14:26,0:21:41,21,3,
2022/6/3 14:27,0:22:51,22,1,
2022/6/3 14:30,0:25:07,25,2,
2022/6/3 14:31,0:26:08,26,3,
2022/6/3 14:32,0:27:32,27,1,
2022/6/3 14:34,0:29:12,29,1,
2022/6/3 14:34,0:29:32,29,1,
2022/6/3 14:36,0:31:12,31,1,
2022/6/3 14:39,0:34:30,34,2,
2022/6/3 14:41,0:36:01,36,1,
2022/6/3 14:42,0:37:31,37,2,
2022/6/3 14:46,0:41:21,41,2,
2022/6/3 14:47,0:42:44,42,3,
2022/6/3 14:49,0:44:37,44,3,
2022/6/3 14:51,0:46:01,46,3,
2022/6/3 14:52,0:47:06,47,2,
2022/6/3 14:55,0:50:49,50,2,
2022/6/3 14:57,0:52:46,52,3,
2022/6/3 14:58,0:53:49,53,1,
2022/6/3 15:00,0:55:00,55,1,
2022/6/3 15:01,0:56:02,56,3,
2022/6/3 15:01,0:56:25,56,3,
2022/6/3 15:02,0:57:59,57,2,
2022/6/3 15:03,0:58:28,58,3,
2022/6/3 15:05,1:00:57,60,2,
2022/6/3 15:09,1:04:39,64,1,
2022/6/3 15:09,1:04:56,64,1,
2022/6/3 15:16,1:11:53,71,1,
2022/6/3 15:17,1:12:18,72,3,
2022/6/3 15:18,1:13:14,73,2,
2022/6/3 15:18,1:13:57,73,1,
2022/6/3 15:21,1:16:18,76,1,
2022/6/3 15:23,1:18:18,78,1,
2022/6/3 15:25,1:20:09,80,3,
2022/6/3 15:30,1:25:24,85,3,
2022/6/3 15:32,1:27:16,87,1,
2022/6/3 15:34,1:29:31,89,3,
2022/6/3 15:38,1:33:06,93,1,
2022/6/3 15:39,1:34:17,94,1,
2022/6/3 15:39,1:34:52,94,2,
2022/6/3 15:42,1:37:44,97,1,
