buttonNumber,clickTime,position
4,2023-12-20T04:06:10.260Z,"{'latitude': 33.94893370968066, 'longitude': 130.96422385742915}"
4,2023-12-20T04:01:39.196Z,"{'latitude': 33.949007069719265, 'longitude': 130.96423468590126}"
5,2023-12-20T03:58:50.684Z,"{'latitude': 33.9489161952208, 'longitude': 130.96408175415996}"
4,2023-12-20T03:42:39.072Z,"{'latitude': 33.94900894, 'longitude': 130.96423339}"
2,2023-12-20T03:30:17.539Z,"{'latitude': 33.949050712430804, 'longitude': 130.96425469045616}"
-2,2023-12-20T03:11:51.870Z,"{'latitude': 33.947686641736695, 'longitude': 130.96453017448732}"
2,2023-12-20T03:09:13.415Z,"{'latitude': 33.94741058, 'longitude': 130.96336364}"
2,2023-12-20T03:04:52.217Z,"{'latitude': 33.947876701163075, 'longitude': 130.9635957052288}"
4,2023-12-20T02:50:07.957Z,"{'latitude': 33.94637303156882, 'longitude': 130.96249185311828}"
3,2023-12-20T02:46:22.852Z,"{'latitude': 33.946377950714265, 'longitude': 130.96248978551696}"
1,2023-12-20T02:38:59.012Z,"{'latitude': 33.945575674456016, 'longitude': 130.96208858447167}"
-3,2023-12-20T02:36:06.015Z,"{'latitude': 33.94596603344803, 'longitude': 130.96308633569265}"
1,2023-12-20T02:34:37.697Z,"{'latitude': 33.94580815186955, 'longitude': 130.9628820675667}"
3,2023-12-20T02:32:49.951Z,"{'latitude': 33.94566295671644, 'longitude': 130.96254997898913}"
-2,2023-12-20T02:31:20.368Z,"{'latitude': 33.945337432580665, 'longitude': 130.96228364383683}"
-3,2023-12-20T02:28:00.492Z,"{'latitude': 33.945531486565194, 'longitude': 130.96245333564556}"
2,2023-12-20T02:24:25.900Z,"{'latitude': 33.945462148752945, 'longitude': 130.9623833355901}"
-1,2023-12-20T02:21:20.395Z,"{'latitude': 33.94602685704263, 'longitude': 130.9637555481223}"
1,2023-12-20T02:15:32.675Z,"{'latitude': 33.94601220006322, 'longitude': 130.96377693006772}"
1,2023-12-20T02:13:12.607Z,"{'latitude': 33.945978782971366, 'longitude': 130.96375367798728}"
3,2023-12-20T02:08:40.102Z,"{'latitude': 33.946261859299895, 'longitude': 130.96336934947175}"
2,2023-12-20T02:05:19.632Z,"{'latitude': 33.94536884282181, 'longitude': 130.96175084228827}"
